genes,model_results_hr,model_results_hr_lci,model_results_hr_uci
9188,PCDHGA8,2.100233e+00,1.022792e+00,4.312685e+00
2232,CBY1,2.101508e+00,1.013156e+00,4.358987e+00
9703,PMPCA,2.103802e+00,1.015445e+00,4.358662e+00
11696,SLC25A10,2.107365e+00,1.005136e+00,4.418293e+00
10327,RAB12,2.119291e+00,1.014212e+00,4.428459e+00
7059,LMNB2,2.125280e+00,1.024143e+00,4.410338e+00
7009,LIG3,2.125657e+00,1.012750e+00,4.461533e+00
7113,LOC152217,2.125856e+00,1.030786e+00,4.384287e+00
12663,TCEA1,2.129884e+00,1.002590e+00,4.524688e+00
10670,RGPD6,2.135795e+00,1.016378e+00,4.488113e+00
12024,SNORD1C,2.138674e+00,1.006536e+00,4.544227e+00
7086,LOC100131193,2.141149e+00,1.002435e+00,4.573380e+00
7900,MMP10,2.142139e+00,1.007614e+00,4.554086e+00
1181,BET1L,2.142352e+00,1.007000e+00,4.557766e+00
4060,EHD3,2.145844e+00,1.000720e+00,4.601333e+00
3259,CTCFL,2.146133e+00,1.049649e+00,4.388022e+00
400,ALDH18A1,2.159343e+00,1.015230e+00,4.592811e+00
7220,LOC81691,2.161098e+00,1.030522e+00,4.532017e+00
7088,LOC100131691,2.162768e+00,1.031096e+00,4.536496e+00
3558,DDX54,2.164552e+00,1.027424e+00,4.560225e+00
9998,PRKAA2,2.165409e+00,1.009007e+00,4.647138e+00
603,AP1S3,2.166402e+00,1.027630e+00,4.567108e+00
7977,MPST,2.171926e+00,1.028673e+00,4.585774e+00
8192,MUS81,2.177602e+00,1.019018e+00,4.653451e+00
6800,KLHL36,2.178899e+00,1.016439e+00,4.670818e+00
6696,KIAA1908,2.180175e+00,1.024651e+00,4.638812e+00
11442,SF4,2.182741e+00,1.015657e+00,4.690910e+00
2619,CDT1,2.182884e+00,1.048737e+00,4.543541e+00
12338,STAP2,2.185698e+00,1.015088e+00,4.706269e+00
13161,TNFAIP1,2.194752e+00,1.011231e+00,4.763438e+00
1523,C16orf68,2.199551e+00,1.048834e+00,4.612762e+00
5754,HES6,2.201696e+00,1.015583e+00,4.773087e+00
9877,PPM1G,2.201808e+00,1.023182e+00,4.738122e+00
7518,MAP2K3,2.201881e+00,1.035650e+00,4.681389e+00
7288,LRP5L,2.203112e+00,1.051787e+00,4.614718e+00
5920,HNRPDL,2.204520e+00,1.006576e+00,4.828160e+00
666,APOOL,2.207089e+00,1.067685e+00,4.562437e+00
3878,DSG3,2.207773e+00,1.007116e+00,4.839822e+00
5815,HIST1H3B,2.209872e+00,1.040594e+00,4.693025e+00
2056,C9orf78,2.214606e+00,1.057323e+00,4.638581e+00
4941,FOXA3,2.218477e+00,1.006440e+00,4.890149e+00
802,ARMCX5,2.220611e+00,1.025657e+00,4.807763e+00
6629,KIAA0802,2.221988e+00,1.001641e+00,4.929139e+00
13484,TSR1,2.222091e+00,1.024455e+00,4.819821e+00
7036,LIPE,2.224177e+00,1.053028e+00,4.697847e+00
3874,DSCR6,2.224747e+00,1.004850e+00,4.925611e+00
10824,RNF220,2.225259e+00,1.022087e+00,4.844771e+00
5806,HIST1H2AH,2.225470e+00,1.041332e+00,4.756138e+00
1996,C8orf37,2.227028e+00,1.003895e+00,4.940414e+00
6319,IQCE,2.228132e+00,1.015739e+00,4.887642e+00
8828,NUDT4,2.231786e+00,1.013251e+00,4.915732e+00
4001,EDN1,2.232978e+00,1.008490e+00,4.944212e+00
14216,ZBTB12,2.233736e+00,1.048287e+00,4.759745e+00
8003,MRPL16,2.237740e+00,1.057421e+00,4.735558e+00
1329,BUB3,2.239108e+00,1.035794e+00,4.840349e+00
10168,PSPH,2.241263e+00,1.029225e+00,4.880625e+00
4836,FIBCD1,2.242090e+00,1.059282e+00,4.745640e+00
392,AKT2,2.242418e+00,1.046083e+00,4.806919e+00
13058,TMEM223,2.244442e+00,1.080835e+00,4.660767e+00
4483,FAM149A,2.246442e+00,1.026343e+00,4.916972e+00
7541,MAP4K5,2.248251e+00,1.055283e+00,4.789837e+00
7997,MRPL10,2.250171e+00,1.092649e+00,4.633936e+00
9520,PIM3,2.252076e+00,1.007081e+00,5.036184e+00
1788,C22orf46,2.254318e+00,1.072113e+00,4.740123e+00
12649,TBX15,2.255567e+00,1.026604e+00,4.955739e+00
14153,XRCC5,2.257562e+00,1.028906e+00,4.953404e+00
1870,C4orf27,2.259755e+00,1.080722e+00,4.725072e+00
13704,UBXN2A,2.260964e+00,1.074722e+00,4.756539e+00
4997,FSTL4,2.261630e+00,1.016244e+00,5.033208e+00
5933,HOXA3,2.263450e+00,1.004897e+00,5.098240e+00
2106,CADM4,2.264207e+00,1.047780e+00,4.892856e+00
9029,PACS1,2.265137e+00,1.022764e+00,5.016646e+00
4874,FLJ22536,2.265635e+00,1.015563e+00,5.054439e+00
3156,CREB3L4,2.268265e+00,1.049005e+00,4.904675e+00
10299,PYROXD2,2.269877e+00,1.041264e+00,4.948163e+00
3656,DHX37,2.270840e+00,1.079261e+00,4.778002e+00
5353,GNL3,2.271834e+00,1.070261e+00,4.822403e+00
13580,TUT1,2.273064e+00,1.079609e+00,4.785824e+00
73,ABHD4,2.273903e+00,1.082547e+00,4.776361e+00
10472,RARS,2.274137e+00,1.072676e+00,4.821305e+00
10115,PSENEN,2.274331e+00,1.009581e+00,5.123493e+00
14184,YOD1,2.274765e+00,1.026194e+00,5.042473e+00
6346,IRGQ,2.275159e+00,1.067229e+00,4.850271e+00
13785,URM1,2.276027e+00,1.054270e+00,4.913636e+00
5434,GPR125,2.276063e+00,1.028702e+00,5.035920e+00
2244,CCDC103,2.276345e+00,1.063207e+00,4.873696e+00
8908,OGG1,2.276935e+00,1.045508e+00,4.958769e+00
5627,GYS1,2.277029e+00,1.099314e+00,4.716451e+00
12937,TMED6,2.280634e+00,1.063697e+00,4.889822e+00
9920,PPP2R1A,2.281022e+00,1.082228e+00,4.807729e+00
119,ACD,2.281281e+00,1.080931e+00,4.814592e+00
9839,PPARD,2.281785e+00,1.005054e+00,5.180358e+00
6470,KAT2A,2.283120e+00,1.038499e+00,5.019399e+00
7249,LPCAT4,2.284000e+00,1.032799e+00,5.050986e+00
6916,LARS,2.284048e+00,1.019821e+00,5.115484e+00
15,AAMP,2.286149e+00,1.068596e+00,4.890972e+00
14027,WDR46,2.286267e+00,1.060830e+00,4.927287e+00
10895,RPL13A,2.286310e+00,1.021317e+00,5.118108e+00
11167,SATB2,2.286359e+00,1.021301e+00,5.118410e+00
11057,RTF1,2.286632e+00,1.088744e+00,4.802493e+00
5458,GPR37,2.287316e+00,1.054667e+00,4.960632e+00
10177,PTCD1,2.288357e+00,1.038108e+00,5.044345e+00
6847,KRT14,2.289531e+00,1.033046e+00,5.074266e+00
9606,PLCD3,2.290087e+00,1.102069e+00,4.758775e+00
8706,NPM3,2.290295e+00,1.028006e+00,5.102549e+00
9603,PLCB3,2.291181e+00,1.116779e+00,4.700581e+00
800,ARMCX2,2.291577e+00,1.053747e+00,4.983479e+00
12854,TIMM22,2.293004e+00,1.033155e+00,5.089135e+00
1513,C16orf53,2.293704e+00,1.025481e+00,5.130350e+00
9913,PPP1R3G,2.294215e+00,1.067872e+00,4.928889e+00
5103,GALNT3,2.296198e+00,1.043497e+00,5.052747e+00
13217,TNPO3,2.298160e+00,1.081376e+00,4.884090e+00
9942,PPP5C,2.300451e+00,1.041546e+00,5.080983e+00
3791,DND1,2.300537e+00,1.018039e+00,5.198688e+00
8451,NDUFAF2,2.302295e+00,1.078787e+00,4.913448e+00
7431,LZTR1,2.302538e+00,1.058882e+00,5.006867e+00
6073,ICA1,2.303419e+00,1.060782e+00,5.001724e+00
8858,NUP88,2.303849e+00,1.067243e+00,4.973301e+00
1559,C17orf63,2.304065e+00,1.043369e+00,5.088049e+00
12172,SPHAR,2.305224e+00,1.036842e+00,5.125233e+00
4268,ERCC3,2.306899e+00,1.025916e+00,5.187347e+00
9607,PLCD4,2.307812e+00,1.000165e+00,5.325116e+00
2991,COG8,2.308691e+00,1.054543e+00,5.054373e+00
2755,CHL1,2.309451e+00,1.019409e+00,5.232016e+00
1000,ATPBD4,2.315320e+00,1.042485e+00,5.142237e+00
13725,UGDH,2.316550e+00,1.096870e+00,4.892472e+00
8853,NUP50,2.316553e+00,1.062693e+00,5.049831e+00
6239,ILKAP,2.316603e+00,1.138357e+00,4.714381e+00
9754,POLDIP2,2.317183e+00,1.020160e+00,5.263228e+00
11024,RRN3P3,2.318057e+00,1.096614e+00,4.899984e+00
4806,FGF19,2.319630e+00,1.034051e+00,5.203496e+00
14136,XKRX,2.319929e+00,1.026669e+00,5.242266e+00
1289,BRSK2,2.320571e+00,1.054935e+00,5.104628e+00
1119,BBS7,2.321341e+00,1.074059e+00,5.017062e+00
6145,IGF2BP1,2.321385e+00,1.034910e+00,5.207051e+00
1614,C19orf47,2.321642e+00,1.019180e+00,5.288589e+00
12300,ST13,2.323747e+00,1.118599e+00,4.827287e+00
5828,HIST2H3C,2.324808e+00,1.135206e+00,4.761013e+00
10543,RBM41,2.325402e+00,1.072178e+00,5.043465e+00
1844,C3orf33,2.330732e+00,1.064655e+00,5.102416e+00
1628,C19orf63,2.336054e+00,1.112018e+00,4.907425e+00
5093,GALK2,2.336724e+00,1.061786e+00,5.142545e+00
5712,HDDC3,2.337706e+00,1.053426e+00,5.187712e+00
1533,C16orf87,2.338634e+00,1.004451e+00,5.444975e+00
14087,WIPI1,2.339986e+00,1.100550e+00,4.975271e+00
875,ASRGL1,2.340508e+00,1.055798e+00,5.188475e+00
417,ALDOA,2.342373e+00,1.019859e+00,5.379873e+00
3473,DCAF17,2.346072e+00,1.087721e+00,5.060169e+00
10369,RAB5A,2.347721e+00,1.121471e+00,4.914787e+00
5201,GFM2,2.348112e+00,1.058235e+00,5.210213e+00
91,ABTB2,2.348291e+00,1.053825e+00,5.232815e+00
14637,ZNF524,2.348834e+00,1.099310e+00,5.018624e+00
13487,TSSC4,2.349235e+00,1.052736e+00,5.242440e+00
14138,XPA,2.349446e+00,1.029697e+00,5.360699e+00
8688,NPAS2,2.351579e+00,1.118121e+00,4.945729e+00
6542,KCTD1,2.351840e+00,1.087360e+00,5.086769e+00
14647,ZNF544,2.352291e+00,1.080998e+00,5.118673e+00
2646,CEMP1,2.352510e+00,1.081714e+00,5.116232e+00
4976,FREM1,2.354133e+00,1.109515e+00,4.994926e+00
5128,GAS2,2.357050e+00,1.035792e+00,5.363704e+00
6948,LDHA,2.358322e+00,1.016490e+00,5.471457e+00
8682,NOVA1,2.358735e+00,1.091062e+00,5.099277e+00
8856,NUP62,2.360088e+00,1.080090e+00,5.156989e+00
3279,CTPS2,2.363018e+00,1.138177e+00,4.905965e+00
777,ARL4A,2.365001e+00,1.036099e+00,5.398354e+00
8131,MTERF,2.365870e+00,1.045818e+00,5.352120e+00
568,ANO7,2.367643e+00,1.030110e+00,5.441879e+00
6336,IRF2BP1,2.367776e+00,1.150160e+00,4.874420e+00
14840,ZNF841,2.369874e+00,1.029874e+00,5.453388e+00
10037,PRMT7,2.371080e+00,1.084080e+00,5.185982e+00
4407,FAHD1,2.371575e+00,1.060954e+00,5.301238e+00
4624,FAM83E,2.371587e+00,1.070571e+00,5.253668e+00
11413,SESN2,2.372463e+00,1.065146e+00,5.284327e+00
12031,SNRNP35,2.372586e+00,1.102481e+00,5.105906e+00
12741,TEX10,2.376147e+00,1.144188e+00,4.934568e+00
10947,RPLP2,2.377975e+00,1.116223e+00,5.065980e+00
6859,KRT6A,2.378021e+00,1.113432e+00,5.078875e+00
7186,LOC642852,2.378664e+00,1.145579e+00,4.939024e+00
8999,OXTR,2.378939e+00,1.104539e+00,5.123719e+00
3299,CTTN,2.380438e+00,1.107117e+00,5.118235e+00
10915,RPL27A,2.380900e+00,1.121658e+00,5.053844e+00
1843,C3orf31,2.382038e+00,1.141903e+00,4.968990e+00
11007,RPUSD1,2.387612e+00,1.112735e+00,5.123135e+00
1027,AXIN1,2.388084e+00,1.120791e+00,5.088318e+00
11059,RTKN,2.391661e+00,1.018732e+00,5.614864e+00
5070,GABPB2,2.394694e+00,1.149647e+00,4.988105e+00
3549,DDX41,2.395146e+00,1.085259e+00,5.286044e+00
14705,ZNF613,2.401079e+00,1.088975e+00,5.294135e+00
595,AP1AR,2.401250e+00,1.044345e+00,5.521167e+00
700,ARFIP2,2.405619e+00,1.137748e+00,5.086369e+00
14053,WDR76,2.407392e+00,1.148118e+00,5.047856e+00
778,ARL4C,2.409552e+00,1.049425e+00,5.532497e+00
5713,HDGFRP2,2.411511e+00,1.107425e+00,5.251269e+00
13413,TRMU,2.415683e+00,1.064432e+00,5.482285e+00
387,AKR1E2,2.416660e+00,1.146733e+00,5.092945e+00
13118,TMEM81,2.421267e+00,1.065056e+00,5.504438e+00
963,ATP5S,2.422962e+00,1.154609e+00,5.084619e+00
7227,LOC93622,2.424322e+00,1.089167e+00,5.396175e+00
14055,WDR78,2.425620e+00,1.131732e+00,5.198787e+00
2979,COASY,2.426066e+00,1.039288e+00,5.663300e+00
112,ACBD4,2.426443e+00,1.099646e+00,5.354109e+00
11610,SIRT6,2.430624e+00,1.152838e+00,5.124684e+00
14889,ZWILCH,2.431771e+00,1.053821e+00,5.611493e+00
5492,GPX2,2.432458e+00,1.028925e+00,5.750517e+00
13747,ULK4,2.432542e+00,1.146379e+00,5.161696e+00
5288,GLRX3,2.437558e+00,1.137390e+00,5.223968e+00
12016,SNORA7B,2.439745e+00,1.152370e+00,5.165315e+00
1626,C19orf61,2.439873e+00,1.079522e+00,5.514463e+00
4356,EXOSC10,2.443395e+00,1.100264e+00,5.426133e+00
1796,C2CD4D,2.445039e+00,1.141292e+00,5.238112e+00
13393,TRIM9,2.446542e+00,1.064643e+00,5.622136e+00
1087,BAK1,2.446591e+00,1.106587e+00,5.409248e+00
3481,DCBLD2,2.447742e+00,1.068049e+00,5.609706e+00
7757,METTL5,2.447872e+00,1.014322e+00,5.907472e+00
12437,STYX,2.448497e+00,1.059105e+00,5.660566e+00
13660,UBE2M,2.449810e+00,1.030028e+00,5.826610e+00
9540,PITPNC1,2.450303e+00,1.012949e+00,5.927231e+00
3814,DOCK5,2.451405e+00,1.184191e+00,5.074673e+00
5950,HOXC6,2.451502e+00,1.082674e+00,5.550942e+00
4413,FAIM,2.451601e+00,1.159691e+00,5.182717e+00
12734,TESC,2.452841e+00,1.051363e+00,5.722505e+00
10098,PRSS3,2.453781e+00,1.080285e+00,5.573567e+00
1165,BCS1L,2.454229e+00,1.174102e+00,5.130079e+00
6146,IGF2BP2,2.459048e+00,1.101387e+00,5.490275e+00
6740,KIF9,2.460910e+00,1.112814e+00,5.442129e+00
9398,PGM3,2.461487e+00,1.022426e+00,5.926023e+00
14760,ZNF697,2.461770e+00,1.094513e+00,5.536997e+00
12330,STAG3L2,2.462024e+00,1.126717e+00,5.379845e+00
2776,CHRAC1,2.464216e+00,1.031570e+00,5.886520e+00
3557,DDX52,2.464968e+00,1.121908e+00,5.415834e+00
14718,ZNF628,2.468654e+00,1.131145e+00,5.387687e+00
1805,C2orf3,2.468716e+00,1.113601e+00,5.472842e+00
11315,SEH1L,2.469092e+00,1.003404e+00,6.075730e+00
5354,GNLY,2.469453e+00,1.079411e+00,5.649561e+00
13022,TMEM184A,2.470386e+00,1.035264e+00,5.894925e+00
10179,PTCD3,2.472565e+00,1.171794e+00,5.217280e+00
8669,NOP56,2.474340e+00,1.143794e+00,5.352674e+00
11031,RRP7B,2.475364e+00,1.149748e+00,5.329366e+00
14837,ZNF837,2.476275e+00,1.181465e+00,5.190113e+00
12149,SPATA5L1,2.477432e+00,1.139334e+00,5.387067e+00
12694,TCP11L1,2.477769e+00,1.111555e+00,5.523201e+00
11212,SCG2,2.479223e+00,1.143634e+00,5.374576e+00
10582,RCN1,2.479717e+00,1.075781e+00,5.715846e+00
7181,LOC554202,2.480889e+00,1.134515e+00,5.425057e+00
7615,MBD2,2.481572e+00,1.111771e+00,5.539089e+00
1638,C1QBP,2.483438e+00,1.161044e+00,5.311997e+00
6038,HSPBP1,2.484114e+00,1.057741e+00,5.833966e+00
506,ANKDD1A,2.487625e+00,1.181338e+00,5.238364e+00
4091,EIF2S2,2.487744e+00,1.063548e+00,5.819078e+00
8726,NR1H2,2.487990e+00,1.129353e+00,5.481099e+00
4794,FGB,2.488938e+00,1.132397e+00,5.470528e+00
14581,ZNF432,2.489666e+00,1.129732e+00,5.486643e+00
11961,SMPD4,2.491038e+00,1.032176e+00,6.011835e+00
14738,ZNF668,2.492501e+00,1.020745e+00,6.086301e+00
1576,C17orf90,2.494123e+00,1.152144e+00,5.399193e+00
10922,RPL32,2.494647e+00,1.128766e+00,5.513335e+00
7171,LOC440905,2.496483e+00,1.042745e+00,5.976946e+00
7274,LRFN4,2.504149e+00,1.153396e+00,5.436782e+00
5999,HSD17B2,2.507508e+00,1.070235e+00,5.874968e+00
9708,PMS2L3,2.512527e+00,1.188624e+00,5.311007e+00
14593,ZNF446,2.513369e+00,1.145417e+00,5.515041e+00
7333,LRRC57,2.514106e+00,1.137934e+00,5.554565e+00
6985,LGALS7,2.516700e+00,1.145122e+00,5.531094e+00
13659,UBE2MP1,2.516816e+00,1.178386e+00,5.375459e+00
7192,LOC645676,2.517208e+00,1.170221e+00,5.414648e+00
8015,MRPL2,2.518400e+00,1.025996e+00,6.181641e+00
293,AFP,2.518795e+00,1.143720e+00,5.547096e+00
2354,CCDC94,2.519531e+00,1.136249e+00,5.586837e+00
4202,ENTPD2,2.520528e+00,1.199894e+00,5.294687e+00
7510,MAP1D,2.521335e+00,1.154022e+00,5.508670e+00
11887,SLCO1B3,2.522177e+00,1.095009e+00,5.809426e+00
8543,NFKBIB,2.523904e+00,1.041820e+00,6.114387e+00
1266,BRCC3,2.525292e+00,1.109254e+00,5.748998e+00
1398,C11orf80,2.529972e+00,1.070174e+00,5.981044e+00
10853,RNPS1,2.531003e+00,1.071994e+00,5.975758e+00
11932,SMARCD2,2.531014e+00,1.149349e+00,5.573619e+00
10983,RPS2,2.531701e+00,1.164032e+00,5.506300e+00
8626,NME2,2.533202e+00,1.164540e+00,5.510425e+00
6582,KHSRP,2.538989e+00,1.183338e+00,5.447697e+00
2291,CCDC18,2.540174e+00,1.030699e+00,6.260297e+00
4225,EPCAM,2.542320e+00,1.022181e+00,6.323136e+00
11438,SF3B2,2.542377e+00,1.021891e+00,6.325211e+00
3389,CYP24A1,2.542962e+00,1.111882e+00,5.815955e+00
10063,PRPS2,2.546181e+00,1.153575e+00,5.619954e+00
4851,FKBP10,2.548339e+00,1.136421e+00,5.714456e+00
3400,CYP2J2,2.549641e+00,1.148609e+00,5.659602e+00
4154,ELOVL6,2.550836e+00,1.129645e+00,5.760007e+00
13993,WBSCR22,2.552256e+00,1.065817e+00,6.111755e+00
4258,ERAL1,2.555650e+00,1.091470e+00,5.983994e+00
12962,TMEM120B,2.558502e+00,1.176403e+00,5.564361e+00
2359,CCHCR1,2.559462e+00,1.142554e+00,5.733514e+00
6524,KCNN4,2.561031e+00,1.189677e+00,5.513163e+00
5781,HIC2,2.562798e+00,1.172324e+00,5.602490e+00
573,ANP32E,2.563390e+00,1.103872e+00,5.952658e+00
14509,ZNF30,2.564351e+00,1.131409e+00,5.812128e+00
14478,ZNF260,2.565089e+00,1.152184e+00,5.710617e+00
11088,RWDD4A,2.566028e+00,1.239427e+00,5.312535e+00
4677,FAU,2.572139e+00,1.089747e+00,6.071042e+00
14433,ZNF195,2.572915e+00,1.229488e+00,5.384268e+00
13515,TTC35,2.574383e+00,1.200182e+00,5.522038e+00
9705,PMS1,2.575457e+00,1.187147e+00,5.587328e+00
5005,FTSJ3,2.575523e+00,1.169917e+00,5.669904e+00
11364,SEPT2,2.575946e+00,1.124366e+00,5.901547e+00
5317,GMPPA,2.576070e+00,1.091014e+00,6.082538e+00
751,ARHGEF4,2.577887e+00,1.189570e+00,5.586472e+00
6024,HSPA4L,2.579855e+00,1.222329e+00,5.445059e+00
6796,KLHL2,2.580816e+00,1.165845e+00,5.713121e+00
14607,ZNF480,2.588529e+00,1.146879e+00,5.842359e+00
8006,MRPL19,2.588803e+00,1.079701e+00,6.207181e+00
9201,PCGF3,2.592886e+00,1.180432e+00,5.695420e+00
6243,IMMP2L,2.593153e+00,1.203226e+00,5.588680e+00
13443,TSEN2,2.600422e+00,1.202199e+00,5.624851e+00
12443,SUDS3,2.607621e+00,1.066265e+00,6.377112e+00
1133,BCCIP,2.610521e+00,1.176736e+00,5.791293e+00
4644,FAM98A,2.611016e+00,1.146435e+00,5.946611e+00
8962,OSBP,2.612963e+00,1.161853e+00,5.876451e+00
14678,ZNF579,2.618588e+00,1.145694e+00,5.985019e+00
7803,MGC12982,2.619789e+00,1.250698e+00,5.487571e+00
4664,FARSB,2.624102e+00,1.146948e+00,6.003686e+00
12982,TMEM141,2.624294e+00,1.183437e+00,5.819425e+00
5396,GPATCH1,2.624566e+00,1.124347e+00,6.126534e+00
12497,SYMPK,2.630084e+00,1.203318e+00,5.748558e+00
4849,FIZ1,2.631182e+00,1.168322e+00,5.925696e+00
1591,C18orf55,2.632565e+00,1.262788e+00,5.488172e+00
12281,SSB,2.633552e+00,1.056803e+00,6.562808e+00
9164,PCDHAC1,2.633662e+00,1.127403e+00,6.152348e+00
11151,SAPS3,2.634742e+00,1.212946e+00,5.723145e+00
11272,SDHAF2,2.635337e+00,1.120221e+00,6.199672e+00
9576,PLA2G16,2.635546e+00,1.202872e+00,5.774599e+00
13971,VWDE,2.635631e+00,1.178497e+00,5.894414e+00
12783,TGIF1,2.637704e+00,1.195492e+00,5.819767e+00
1084,BAIAP2L2,2.642581e+00,1.235633e+00,5.651546e+00
1597,C19orf22,2.642623e+00,1.141549e+00,6.117526e+00
14730,ZNF653,2.643709e+00,1.185114e+00,5.897489e+00
8362,NBR2,2.644538e+00,1.262233e+00,5.540640e+00
8296,NAALADL2,2.646621e+00,1.201754e+00,5.828651e+00
5358,GNPNAT1,2.649524e+00,1.071459e+00,6.551793e+00
2224,CBX1,2.654468e+00,1.151815e+00,6.117476e+00
13670,UBE2V2,2.657978e+00,1.028059e+00,6.872029e+00
10902,RPL18,2.658245e+00,1.217680e+00,5.803057e+00
13396,TRIP10,2.659020e+00,1.226858e+00,5.763002e+00
1283,BRMS1,2.660000e+00,1.094870e+00,6.462498e+00
8553,NFXL1,2.662958e+00,1.192710e+00,5.945572e+00
5347,GNG5,2.667869e+00,1.122273e+00,6.342061e+00
12648,TBRG4,2.668077e+00,1.023269e+00,6.956762e+00
5820,HIST1H4D,2.677353e+00,1.268657e+00,5.650243e+00
14674,ZNF575,2.681026e+00,1.201119e+00,5.984340e+00
4169,EML2,2.682566e+00,1.188415e+00,6.055260e+00
10446,RANGAP1,2.686990e+00,1.242409e+00,5.811223e+00
6023,HSPA2,2.687160e+00,1.232511e+00,5.858631e+00
5467,GPR81,2.687860e+00,1.181363e+00,6.115467e+00
8564,NHEDC2,2.688044e+00,1.189396e+00,6.074999e+00
12006,SNORA52,2.689611e+00,1.078288e+00,6.708788e+00
6709,KIF13B,2.692430e+00,1.213478e+00,5.973886e+00
13656,UBE2K,2.694914e+00,1.074254e+00,6.760559e+00
419,ALDOC,2.700348e+00,1.203931e+00,6.056725e+00
12549,TAF12,2.701927e+00,1.241572e+00,5.879973e+00
8938,ORAOV1,2.702445e+00,1.126619e+00,6.482416e+00
7311,LRRC34,2.706059e+00,1.244005e+00,5.886437e+00
772,ARL17A,2.706877e+00,1.187090e+00,6.172389e+00
6505,KCNJ14,2.707046e+00,1.218982e+00,6.011654e+00
8246,MYO19,2.707258e+00,1.218982e+00,6.012594e+00
6520,KCNMB3,2.707293e+00,1.098777e+00,6.670538e+00
10141,PSMC4,2.707680e+00,1.107359e+00,6.620734e+00
7740,METAP1,2.711708e+00,1.287950e+00,5.709350e+00
8925,OPA3,2.712327e+00,1.302027e+00,5.650205e+00
12752,TFB1M,2.712994e+00,1.231537e+00,5.976544e+00
11842,SLC4A1AP,2.718122e+00,1.197414e+00,6.170120e+00
7505,MANSC1,2.720529e+00,1.229078e+00,6.021815e+00
852,ASCC2,2.723277e+00,1.181992e+00,6.274353e+00
390,AKT1S1,2.723370e+00,1.256594e+00,5.902261e+00
2282,CCDC14,2.725604e+00,1.224669e+00,6.066062e+00
1802,C2orf29,2.727118e+00,1.209639e+00,6.148259e+00
2592,CDK7,2.728770e+00,1.298356e+00,5.735087e+00
4299,ESCO1,2.728957e+00,1.246979e+00,5.972200e+00
6107,IFI27L1,2.736264e+00,1.244242e+00,6.017431e+00
6686,KIAA1704,2.739040e+00,1.219439e+00,6.152288e+00
8855,NUP62CL,2.739669e+00,1.305737e+00,5.748316e+00
9282,PDGFRL,2.741774e+00,1.231521e+00,6.104097e+00
313,AGMAT,2.741819e+00,1.228797e+00,6.117830e+00
8048,MRPS15,2.742349e+00,1.287011e+00,5.843367e+00
14635,ZNF519,2.744635e+00,1.251713e+00,6.018170e+00
2245,CCDC104,2.747381e+00,1.259382e+00,5.993494e+00
12846,TIGD7,2.760805e+00,1.205315e+00,6.323694e+00
4467,FAM128A,2.763208e+00,1.294136e+00,5.899938e+00
9172,PCDHB16,2.763425e+00,1.256408e+00,6.078053e+00
10317,R3HDM1,2.768485e+00,1.136697e+00,6.742793e+00
5587,GTF2IRD1,2.769474e+00,1.272548e+00,6.027267e+00
1550,C17orf53,2.773296e+00,1.175107e+00,6.545081e+00
10279,PVR,2.773405e+00,1.222892e+00,6.289825e+00
7361,LSM12,2.777590e+00,1.176248e+00,6.558998e+00
3292,CTSL2,2.777931e+00,1.295641e+00,5.956050e+00
9710,PMS2L5,2.778702e+00,1.130923e+00,6.827332e+00
6553,KDELR1,2.779832e+00,1.190372e+00,6.491637e+00
1620,C19orf54,2.784364e+00,1.277826e+00,6.067087e+00
7488,MAML3,2.790321e+00,1.235865e+00,6.299953e+00
8337,NARS,2.794634e+00,1.283954e+00,6.082756e+00
14150,XRCC2,2.798245e+00,1.080669e+00,7.245673e+00
11033,RRP9,2.799386e+00,1.276242e+00,6.140340e+00
11664,SLC16A3,2.800151e+00,1.151525e+00,6.809097e+00
5917,HNRNPUL1,2.804285e+00,1.320427e+00,5.955659e+00
9905,PPP1R1C,2.817844e+00,1.227245e+00,6.469971e+00
12960,TMEM11,2.821435e+00,1.170707e+00,6.799738e+00
3365,CYB5D1,2.823892e+00,1.263519e+00,6.311236e+00
7995,MRM1,2.830235e+00,1.242604e+00,6.446324e+00
10639,RFFL,2.831850e+00,1.183289e+00,6.777192e+00
554,ANKRD5,2.835484e+00,1.246739e+00,6.448800e+00
13360,TRIM28,2.841339e+00,1.277892e+00,6.317594e+00
9897,PPP1R14B,2.842145e+00,1.128803e+00,7.156069e+00
14847,ZNF860,2.842844e+00,1.327769e+00,6.086723e+00
5824,HIST2H2AB,2.845684e+00,1.339703e+00,6.044562e+00
3802,DNMT3B,2.851821e+00,1.030245e+00,7.894126e+00
14269,ZC3HC1,2.853064e+00,1.132351e+00,7.188559e+00
2316,CCDC55,2.861378e+00,1.332349e+00,6.145151e+00
5100,GALNT14,2.866604e+00,1.249659e+00,6.575728e+00
7166,LOC401010,2.868047e+00,1.367540e+00,6.014959e+00
10735,RIN1,2.868209e+00,1.299835e+00,6.328971e+00
8816,NUDT15,2.868219e+00,1.124558e+00,7.315475e+00
9085,PAQR4,2.874006e+00,1.286396e+00,6.420973e+00
10165,PSMG3,2.875954e+00,1.144852e+00,7.224614e+00
8210,MYBBP1A,2.877166e+00,1.324081e+00,6.251945e+00
5895,HNF1A,2.887338e+00,1.248085e+00,6.679610e+00
10102,PRTFDC1,2.890921e+00,1.327006e+00,6.297956e+00
8292,NAA40,2.892377e+00,1.195166e+00,6.999732e+00
