genes,model_results_hr,model_results_hr_lci,model_results_hr_uci
2409,CCR2,2.300140e-01,6.849476e-02,7.724158e-01
7898,MME,2.302141e-01,6.613971e-02,8.013116e-01
358,AK1,2.304776e-01,6.697207e-02,7.931656e-01
5848,HLA-DPA1,2.305583e-01,6.678672e-02,7.959236e-01
5743,HERC1,2.307249e-01,6.803343e-02,7.824678e-01
11581,SIGLEC1,2.308183e-01,6.742565e-02,7.901604e-01
11141,SAMHD1,2.311276e-01,6.816123e-02,7.837293e-01
9306,PDPN,2.314380e-01,6.581301e-02,8.138749e-01
7108,LOC149620,2.320549e-01,6.824873e-02,7.890178e-01
12318,ST6GALNAC6,2.321797e-01,6.649389e-02,8.107126e-01
4786,FERMT3,2.326049e-01,6.807786e-02,7.947526e-01
63,ABCG2,2.327372e-01,6.708573e-02,8.074239e-01
13965,VTN,2.327409e-01,6.985942e-02,7.753904e-01
4167,EMILIN2,2.333488e-01,7.035223e-02,7.739864e-01
12337,STAP1,2.333987e-01,6.656470e-02,8.183759e-01
11601,SIRPA,2.335415e-01,6.801847e-02,8.018652e-01
7607,MATK,2.336825e-01,7.297056e-02,7.483499e-01
10189,PTGER4,2.337191e-01,6.581681e-02,8.299497e-01
11889,SLCO2B1,2.340615e-01,6.960810e-02,7.870462e-01
12912,TM9SF2,2.341133e-01,7.086009e-02,7.734826e-01
4970,FPR1,2.341818e-01,6.899229e-02,7.948878e-01
2494,CD80,2.341848e-01,6.913359e-02,7.932834e-01
445,ALOX5,2.347777e-01,6.873711e-02,8.019042e-01
5308,GM2A,2.352019e-01,6.593495e-02,8.390080e-01
2459,CD300LF,2.358559e-01,6.795071e-02,8.186521e-01
5218,GGT6,2.361476e-01,7.189086e-02,7.756994e-01
5220,GGTA1,2.365782e-01,6.902064e-02,8.109058e-01
11655,SLC15A3,2.366970e-01,7.129774e-02,7.857959e-01
2204,CAT,2.367364e-01,7.065665e-02,7.931897e-01
216,ADAMTSL1,2.367814e-01,6.592869e-02,8.503949e-01
8111,MT1E,2.370115e-01,7.373178e-02,7.618758e-01
10233,PTPN6,2.371014e-01,6.967794e-02,8.068129e-01
1574,C17orf87,2.372562e-01,6.685415e-02,8.419895e-01
395,ALAD,2.373279e-01,7.051196e-02,7.987937e-01
11746,SLC28A3,2.376788e-01,7.052962e-02,8.009572e-01
6435,JAM2,2.377209e-01,6.917801e-02,8.168956e-01
2478,CD4,2.378754e-01,6.995584e-02,8.088630e-01
4412,FAIM3,2.382007e-01,6.827220e-02,8.310788e-01
7759,METTL7A,2.383739e-01,7.095395e-02,8.008311e-01
6166,IGSF6,2.383966e-01,7.201975e-02,7.891298e-01
9514,PIK3R6,2.384202e-01,6.941576e-02,8.188945e-01
11516,SH2B3,2.385093e-01,6.972023e-02,8.159282e-01
4481,FAM13B,2.386121e-01,7.224484e-02,7.880942e-01
11855,SLC6A12,2.388392e-01,6.957854e-02,8.198529e-01
7578,MARCH1,2.392831e-01,6.959797e-02,8.226731e-01
5845,HLA-DMB,2.393135e-01,6.988690e-02,8.194805e-01
6000,HSD17B4,2.394857e-01,7.066692e-02,8.116020e-01
11115,S1PR4,2.395667e-01,7.035440e-02,8.157583e-01
13193,TNFSF13,2.403635e-01,7.105908e-02,8.130506e-01
11541,SH3TC1,2.406160e-01,7.113072e-02,8.139389e-01
7987,MRC1,2.408691e-01,7.322701e-02,7.923021e-01
611,AP3M1,2.410219e-01,6.919783e-02,8.394998e-01
2188,CASP1,2.412107e-01,7.115939e-02,8.176379e-01
6184,IL11RA,2.412216e-01,6.879919e-02,8.457640e-01
14549,ZNF382,2.418948e-01,7.045797e-02,8.304683e-01
8295,NAALADL1,2.419959e-01,7.266792e-02,8.058854e-01
5846,HLA-DOA,2.422870e-01,6.821501e-02,8.605580e-01
6324,IQGAP2,2.425444e-01,7.318354e-02,8.038391e-01
12064,SNX20,2.425827e-01,6.966070e-02,8.447568e-01
1438,C13orf18,2.432988e-01,7.455875e-02,7.939284e-01
1355,C10orf46,2.433329e-01,7.299501e-02,8.111638e-01
12728,TENC1,2.435279e-01,7.370673e-02,8.046187e-01
465,AMICA1,2.435551e-01,7.100681e-02,8.354000e-01
4688,FBP1,2.436800e-01,7.117361e-02,8.342974e-01
10490,RASGRP4,2.437857e-01,7.313911e-02,8.125813e-01
2410,CCR4,2.443544e-01,7.131118e-02,8.373027e-01
9008,P2RY14,2.444350e-01,7.325081e-02,8.156695e-01
10304,QKI,2.449569e-01,7.184935e-02,8.351349e-01
12284,SSH1,2.451682e-01,7.495750e-02,8.018872e-01
9903,PPP1R16B,2.455674e-01,7.293333e-02,8.268282e-01
80,ABI3,2.455903e-01,7.054185e-02,8.550184e-01
7795,MGAT1,2.456313e-01,7.251673e-02,8.320112e-01
