Patient,Expression
TCGA-37-3789,3415.56
TCGA-NC-A5HD,3416.76
TCGA-63-A5MR,3428.78
TCGA-22-5473,3434.07
TCGA-NC-A5HN,3434.73
TCGA-60-2708,3441.61
TCGA-43-8115,3451.16
TCGA-66-2727,3458.54
TCGA-68-7756,3462.92
TCGA-66-2754,3465.24
TCGA-68-A59J,3467.9
TCGA-92-8064,3468.97
TCGA-70-6722,3476.01
TCGA-51-4079,3480.88
TCGA-66-2790,3491.08
TCGA-98-A53H,3491.54
TCGA-22-4604,3507.98
TCGA-77-7335,3508.71
TCGA-66-2768,3523.04
TCGA-56-A4BY,3541.38
TCGA-37-3783,3541.86
TCGA-66-2782,3557.62
TCGA-22-4599,3569.11
TCGA-58-8391,3574.42
TCGA-18-3415,3575.14
TCGA-66-2763,3579.27
TCGA-94-8035,3599.13
TCGA-92-8063,3599.5
TCGA-43-2576,3602.04
TCGA-66-2788,3604.92
TCGA-22-5485,3608.68
TCGA-39-5016,3610.71
TCGA-18-3416,3611.85
TCGA-94-7557,3615.35
TCGA-66-2789,3617.86
TCGA-92-8065,3619.41
TCGA-L3-A4E7,3623.05
TCGA-77-A5G1,3623.65
TCGA-18-3408,3628.06
TCGA-56-8624,3634.07
TCGA-37-5819,3650.28
TCGA-66-2753,3663.8
TCGA-46-6025,3663.83
TCGA-22-5491,3664.94
TCGA-22-1002,3668.01
TCGA-85-8276,3679.98
TCGA-33-4538,3680.54
TCGA-O2-A52V,3682.74
TCGA-60-2696,3683.14
TCGA-63-A5MP,3689.63
TCGA-85-8351,3695
TCGA-22-5479,3699.48
TCGA-58-A46M,3703.16
TCGA-77-7337,3706.18
TCGA-21-1082,3706.95
TCGA-85-8355,3712.36
TCGA-85-8350,3713.77
TCGA-34-2596,3728.83
TCGA-96-7545,3735.08
TCGA-92-7340,3736.84
TCGA-46-3765,3737.84
TCGA-85-7699,3745.86
TCGA-22-1000,3760.49
TCGA-22-0940,3767.76
TCGA-33-A5GW,3770.36
TCGA-85-6175,3772.19
TCGA-90-7964,3780.29
TCGA-66-2771,3793.12
TCGA-85-6561,3796.93
TCGA-77-8156,3802.99
TCGA-NC-A5HO,3806.45
TCGA-77-8128,3821.29
TCGA-63-A5MS,3826.09
TCGA-77-8133,3835.33
TCGA-98-A53A,3839.23
TCGA-85-A53L,3844.92
TCGA-85-8582,3848.23
TCGA-66-2737,3849.6
TCGA-21-A5DI,3867.36
TCGA-58-A46L,3867.55
TCGA-56-A5DS,3869.93
TCGA-22-0944,3871.57
TCGA-56-7579,3888.84
TCGA-85-8580,3892.84
TCGA-56-8625,3899.21
TCGA-85-8277,3914.9
TCGA-96-8170,3922.18
TCGA-90-7766,3926.06
TCGA-60-2709,3929.28
TCGA-21-5787,3932.02
TCGA-43-6773,3937.55
TCGA-98-A53B,3941.49
TCGA-77-A5G3,3944.11
TCGA-66-2781,3947.65
TCGA-33-4533,3950.78
TCGA-60-2704,3963.52
TCGA-43-7657,3964.94
TCGA-85-7697,3968.23
TCGA-85-8481,3976.29
TCGA-33-AAS8,3985.43
TCGA-60-2715,3999.04
TCGA-34-7107,3999.65
TCGA-33-4583,4023.88
TCGA-60-2697,4024.16
TCGA-60-2707,4027.81
TCGA-NC-A5HG,4034.03
TCGA-34-5929,4034.51
TCGA-77-7463,4035.56
TCGA-60-2710,4043.55
TCGA-33-4547,4052.43
TCGA-56-8305,4061.14
TCGA-43-7656,4070.13
TCGA-77-8140,4075.03
TCGA-85-7950,4090.21
TCGA-63-A5MH,4091.82
TCGA-56-7580,4098.78
TCGA-85-A4PA,4106.79
TCGA-18-3414,4115.19
TCGA-85-A4QQ,4122.47
TCGA-60-2698,4128.88
TCGA-85-A4CL,4130.31
TCGA-60-2714,4131.13
TCGA-21-5786,4133.65
TCGA-22-5482,4138.93
TCGA-66-2783,4141.3
TCGA-77-7141,4145.01
TCGA-22-1012,4147.47
TCGA-90-A59Q,4148.5
TCGA-60-2713,4151.63
TCGA-18-3407,4164.61
TCGA-22-5472,4170.32
TCGA-56-8308,4175.66
TCGA-22-4605,4194.93
TCGA-77-6842,4202.83
TCGA-37-A5EN,4213.57
TCGA-66-2765,4214.02
TCGA-46-3766,4214.15
TCGA-85-8287,4224.6
TCGA-34-2608,4231.04
TCGA-58-A46N,4247.62
TCGA-O2-A52N,4259.56
TCGA-98-A53C,4271.86
TCGA-18-4721,4273.5
TCGA-52-7622,4275.95
TCGA-98-8022,4280.35
TCGA-22-4594,4281.15
TCGA-96-7544,4281.27
TCGA-56-8628,4301.81
TCGA-39-5035,4303
TCGA-77-A5FZ,4312.84
TCGA-34-5236,4335.82
TCGA-39-5021,4352.49
TCGA-LA-A446,4352.61
TCGA-56-8626,4378.66
TCGA-85-8052,4395.27
TCGA-46-3767,4401.27
TCGA-85-8664,4413.65
TCGA-77-8145,4416.88
TCGA-66-2744,4422
TCGA-98-7454,4422.13
TCGA-56-A4ZJ,4423.78
TCGA-77-8009,4430.52
TCGA-LA-A7SW,4430.88
TCGA-22-1016,4430.99
TCGA-85-8353,4432.04
TCGA-85-8072,4436.08
TCGA-66-2756,4450.7
TCGA-56-7731,4455.81
TCGA-66-2734,4480.15
TCGA-60-2726,4540.8
TCGA-98-8020,4550.31
TCGA-56-5898,4554.26
TCGA-56-6545,4563.47
TCGA-56-8201,4583.15
TCGA-56-8622,4589.53
TCGA-NK-A5CT,4597.68
TCGA-77-6844,4603.38
TCGA-85-A513,4607.74
TCGA-46-3768,4654.28
TCGA-33-AASI,4673.72
TCGA-85-7696,4707.87
TCGA-22-4609,4721.94
TCGA-66-2777,4742.71
TCGA-94-A4VJ,4784.32
TCGA-43-A56U,4791.45
TCGA-77-8138,4810.57
TCGA-85-6798,4818.71
TCGA-34-5232,4861.27
TCGA-34-8454,4869.12
TCGA-22-4607,4871.04
TCGA-63-A5MG,4878.08
TCGA-85-A511,4884.38
TCGA-85-8666,4907.12
TCGA-77-8131,4912.05
TCGA-77-6843,4920.11
TCGA-58-8388,4926.33
TCGA-68-7757,4927.92
TCGA-22-1017,4944.58
TCGA-NC-A5HE,4946.21
TCGA-21-5782,4955.06
TCGA-98-8021,4957.7
TCGA-22-5480,4963.3
TCGA-94-7033,4986.8
TCGA-60-2695,4990.95
TCGA-60-2703,5029.98
TCGA-66-2785,5067.21
TCGA-MF-A522,5100.26
TCGA-85-8288,5110.42
TCGA-33-A4WN,5113.2
TCGA-98-A53J,5120.48
TCGA-66-2755,5139.1
TCGA-96-8169,5148.91
